"Location","Date","Depth","Elevation","Density","RD"
"GNAWED MOUNTAIN",2015-03-31,57,1580,25,"Thompson-Nicola"
"POWELL RIVER (UPPER)",2015-03-31,16,1040,9,"Powell River"
"POWELL RIVER (LOWER)",2015-03-31,8,910,10,"Powell River"
"GERMANSEN (UPPER)",2015-03-31,112,1480,31,"Bulkley-Nechako"
"FREDRICKSON LAKE",2015-03-31,95,1325,27,"Peace River"
"TRYGVE LAKE",2015-03-31,124,1410,30,"Peace River"
"KIDPRICE LAKE",2015-03-31,255,1370,36,"Bulkley-Nechako"
"JOHANSON LAKE",2015-03-31,107,1420,29,"Kitimat-Stikine"
"SUMMIT LAKE",2015-03-31,58,1280,21,"Central Kootenay"
"ADAMS RIVER",2015-04-01,151,1720,37,"Columbia-Shuswap"
"PENFOLD CREEK",2015-04-01,225,1685,33,"Cowichan Valley"
"TROPHY MOUNTAIN",2015-04-01,154,1860,32,"Thompson-Nicola"
"SANDON",2015-04-01,37,1070,42,"Central Kootenay"
"HEATHER MOUNTAIN",2015-04-01,0,1170,NA,"Columbia-Shuswap"
"WARE (UPPER)",2015-04-01,85,1575,27,"Peace River"
"LADY LAURIER LAKE",2015-04-01,161,1440,32,"Peace River"
"PULPIT LAKE",2015-04-01,129,1335,33,"Peace River"
"MOUNT STEARNS",2015-04-01,69,1505,23,"Peace River"
"CHAPMAN LAKE",2015-04-01,126,1460,34,"Sunshine Coast"
"MOUNT CRONIN",2015-04-01,148,1480,34,"Bulkley-Nechako"
"SIKANNI LAKE",2015-04-01,108,1385,27,"Peace River"
"ATLIN LAKE",2015-04-01,30,NA,25,"Kitimat-Stikine"
"MCGILLIVRAY PASS",2015-04-02,104,1725,37,"Squamish-Lillooet"
"BRALORNE (UPPER)",2015-04-02,151,1981,33,"Squamish-Lillooet"
"DOWNTON LAKE (UPPER)",2015-04-02,203,1887,38,"Squamish-Lillooet"
"BRIDGE GLACIER (LOWER)",2015-04-02,128,1390,36,"Squamish-Lillooet"
"GOLDSTREAM",2015-04-02,277,1920,39,"Capital"
"BUSH RIVER",2015-04-02,203,1920,35,"Columbia-Shuswap"
"KIRBYVILLE LAKE",2015-04-02,267,1750,41,"Columbia-Shuswap"
"DOWNIE SLIDE (UPPER)",2015-04-02,270,1630,39,"Columbia-Shuswap"
"GRAY CREEK (UPPER)",2015-04-02,166,1940,36,"Central Kootenay"
"MOUNT COKELY",2015-04-02,0,1190,NA,"Nanaimo"
"ENDERBY",2015-04-03,250,1900,39,"North Okanagan"
"FLOE LAKE",2015-04-03,188,2090,36,"East Kootenay"
"MOUNT ASSINIBOINE",2015-04-03,150,2230,34,"East Kootenay"
"MOUNT JOFFRE",2015-04-03,90,1750,34,"East Kootenay"
"THUNDER CREEK",2015-04-03,74,2010,29,"East Kootenay"
"FIDELITY MOUNTAIN",2015-04-26,268,1870,44,"Columbia-Shuswap"
"HEATHER MOUNTAIN (UPPER)",2015-04-26,40,NA,28,"Cowichan Valley"
"KEYSTONE CREEK",2015-04-27,188,1890,39,"Columbia-Shuswap"
"SUNBEAM LAKE",2015-04-27,219,2010,42,"Columbia-Shuswap"
"HEATHER MOUNTAIN",2015-04-27,8,1170,35,"Columbia-Shuswap"
"TACHEK CREEK",2015-04-27,71,1140,34,"Bulkley-Nechako"
"KOCH CREEK",2015-04-28,152,1860,40,"Central Kootenay"
"MOUNT JOFFRE",2015-04-28,88,1750,4,"East Kootenay"
"BURNS LAKE",2015-04-29,2,800,40,"Bulkley-Nechako"
"MOUNT COKELY",2015-04-29,0,1190,NA,"Nanaimo"
"PINE PASS",2015-04-29,253,1450,43,"Peace River"
"EQUITY MINE",2015-04-29,135,1420,40,"Bulkley-Nechako"
"WEDEENE RIVER SOUTH",2015-04-30,0,300,NA,"Kitimat-Stikine"
"MONKMAN CREEK",2015-04-30,169,1570,39,"Fraser-Fort George"
"ATLIN LAKE",2015-04-30,0,NA,NA,"Kitimat-Stikine"
"SANDON",2015-05-01,0,1070,NA,"Central Kootenay"
"KIDPRICE LAKE",2015-05-02,257,1370,42,"Bulkley-Nechako"
"DOWNTON LAKE (UPPER)",2015-05-04,181,1887,49,"Squamish-Lillooet"
"WAHLEACH LAKE",2015-05-04,19,1480,2,"Fraser Valley"
"KIDPRICE LAKE",2015-05-30,88,1370,49,"Bulkley-Nechako"
